4477,78514,19310
43191,71515,88873
42612,67293,33896
93418,22423,36917
5862,47208,64604
33150,90085,16948
22084,83186,62997
8857,69719,34783
28331,76019,68949
21341,96180,59189
78543,86410,58145
95058,18607,64333
55694,53913,21667
82293,33958,8519
50654,45109,49699
53736,42685,38547
56024,84075,58792
79719,21101,37933
12582,8145,90170
53133,89856,41600
63739,70466,1647
73792,16975,18845
75071,12639,11023
17434,40723,8538
63724,13508,27762
981,30654,17814
4875,82413,55743
6961,78337,92957
50184,90841,69415
84870,47634,25542
79570,37088,19896
22811,20817,27431
59524,27179,43030
41805,91841,13710
53088,88702,48574
92373,60968,5348
56895,79800,44062
64808,91825,33091
27073,86250,35253
2122,85361,92266
42864,92012,94173
65863,60073,82847
34867,17502,51848
3107,97344,50592
28819,21548,71142
97408,6123,11168
26777,10815,22318
51610,55551,28771
56929,2742,56418
55904,7726,83428
49678,20860,46659
83754,21538,322
48251,85446,93200
45127,40649,50232
91239,84486,39924
96737,20513,18715
97682,37616,383
75882,83625,5509
83125,4321,84170
1495,89473,90850
79262,46802,49324
38024,48414,77974
50771,45565,98154
69597,72543,28754
23387,95437,94206
65882,49611,98640
55562,8376,19171
61112,27660,60064
8133,69550,88929
49714,99461,25650
92715,85835,8801
47080,8868,11372
10504,36821,9249
23776,50153,45910
2486,12803,45339
29481,59995,2772
66203,60924,86213
90869,81470,63110
89728,10028,42258
79658,97191,39978
25794,10519,2769
58120,52787,93443
66717,91909,37117
21716,17216,74611
93855,45767,89872
48574,73613,35494
74663,25959,67473
56429,66096,41184
30246,87901,10098
86742,50721,38341
61765,52704,89478
71616,58260,17700
48616,80113,37690
6965,7554,33083
9971,21612,86415
2112,92003,97430
98120,55365,34730
4782,44440,6183
92030,1374,55211
63787,54389,83646
76451,30053,7503
1103,78344,8743
86744,41037,81269
86181,11900,12871
23967,25459,77625
54630,16532,11879
88677,6235,9487
44017,5384,91356
53358,82550,64827
81881,38851,24635
72636,85830,71189
43194,95457,64334
1883,22953,96715
98309,83166,94580
39984,57421,23560
48001,72449,78264
64157,30063,3052
5061,3936,61569
8785,43335,25912
56532,61427,97629
94595,81836,34164
20239,46797,48753
61908,65099,3348
96415,24687,84176
17204,80201,54646
2094,5241,60385
33780,76322,5912
45434,21337,77165
65108,53399,92439
75173,87618,39190
68360,88862,44449
96642,5044,46876
97273,85584,81222
44492,73807,85171
87360,2061,93012
17144,78534,54029
20723,74093,80525
42287,16194,87882
61318,51231,72849
68087,27649,87923
34429,67229,26539
76777,86066,2902
18130,41046,41465
2334,2536,84124
18157,74767,88867
51938,66407,55114
68446,57789,80082
69086,21235,25809
13997,17417,39707
65866,88933,63254
88044,27538,17531
82710,37374,3897
99293,30178,85672
16589,36487,5998
10269,25515,23069
48800,33085,71658
72045,14958,45863
96868,21771,35881
31749,45205,5433
44794,88313,56379
69757,49291,58196
21685,86360,56901
80223,9226,42147
77267,4507,40146
11845,67132,58468
36740,76915,20329
91037,81763,39287
53336,63808,54978
97078,92999,50434
15979,71951,33795
69054,13815,55974
20978,22295,45088
39811,8281,91167
88165,86261,86104
3824,86437,74259
31690,28974,76353
91625,76200,73372
83837,41258,46545
60037,87097,19049
29827,40987,45356
54269,35136,37787
66252,89090,26994
82923,63373,35650
64668,53111,87190
41776,66053,85518
84551,33194,89508
63420,4574,76510
84246,57911,62360
27114,43469,46556
50279,25848,24848
72824,42833,81998
2028,6972,32377
5009,27319,59899
5438,8135,19506
47216,83300,21686
18595,7112,5252
97086,49437,19059
91730,14032,13383
22289,40086,87513
37681,85465,44238
8592,89277,69043
96743,98978,37364
57160,97312,54525
88520,19193,14332
43835,32276,15658
98225,95637,12404
57258,39305,90282
71096,98413,73983
87530,16597,31657
36928,3289,8678
1133,11688,53618
86086,71967,66839
34315,22566,47313
60719,787,66941
81928,26654,65657
23057,85718,97413
83185,58814,73824
16816,40673,3292
2765,6302,10902
26823,31476,82368
27318,82264,78699
48459,49215,74406
76267,42884,69113
78053,73949,7156
43688,29768,63463
30468,75068,11225
5195,23763,36494
37680,54550,17582
88035,79055,59454
62713,10226,15709
95382,31377,49611
60069,98901,73367
6808,29341,79655
19272,48926,5361
29116,48714,21237
63995,92543,51727
2532,48294,39149
16137,62500,23618
10288,22466,63075
17337,73029,33816
7357,65278,78132
33848,95585,68204
59235,7862,46590
87151,1169,35651
91895,60902,7192
89912,37863,23280
60534,19224,16135
94896,77977,62641
34520,62652,10816
55781,87176,81329
50206,71555,55458
2474,23626,7553
7554,75070,31442
15430,97613,65849
17021,33566,42601
11363,10523,64856
69677,62682,50739
58045,38431,91903
6810,38656,43320
49239,73232,68692
42847,43438,48663
31273,76492,46604
78007,64607,59410
28293,5317,50769
62329,11161,64034
79124,21612,20741
3872,96665,96698
11305,97782,61550
21475,75687,86238
79648,37630,53691
42932,13631,64875
6894,99666,61010
50665,19666,57844
41458,54525,60810
68858,68726,95585
17903,60652,1662
20743,19028,67714
29168,12016,32817
27084,91863,30066
87521,94377,38742
4119,49982,17151
59731,2185,33999
54520,88088,7827
69571,23387,82375
56835,16089,74731
43003,48069,76730
95532,98439,94009
2529,347,80855
57917,23869,24400
58879,83198,27129
80240,79052,36814
93956,61098,99277
392,31019,4845
52947,70815,56255
6900,26476,5145
42495,43072,44625
24214,96288,33707
55350,94289,15821
18832,71111,38964
401,85452,27783
3705,363,78458
50792,45985,1913
66664,95167,55071
39714,26682,40250
765,50681,46080
48245,60623,6793
50612,30177,4550
50748,90336,33635
5688,65361,8771
68693,62019,21838
95629,5094,26112
11028,35319,3137
56468,79591,3701
19391,85718,85513
98434,57261,94360
96728,72547,1592
37511,76791,56131
89803,82510,2732
22025,72626,21604
14721,72900,12498
53237,3183,89768
53215,12694,46852
96136,80861,45456
51549,13887,32529
80419,32323,42626
9479,83048,85982
5414,17401,67025
23129,12243,4977
65698,51634,85730
58497,18498,11476
28523,54570,1991
64987,42010,83505
27731,9586,3945
55738,69729,40915
97170,54258,61225
93985,41494,23539
84199,95402,99928
4618,44469,90199
13504,66028,91589
57332,15240,9033
75368,95722,3760
75399,81768,71229
35742,77862,19973
39252,59526,42700
32349,49555,40786
74885,20221,52366
76407,67388,54221
37890,1212,4838
9549,86220,30854
99447,7709,89281
